Sector,Institution,Programme,SubProgramme,Location,Frequency,Indicator,Type,SubType,Outcome,Cluster,DesiredPerformance,Target_Q1,ActualOutput_Q1,ReasonforDeviation_Q1,CorrectiveAction_Q1,Target_Q2,ActualOutput_Q2,Target_Q3,ActualOutput_Q3,ReasonforDeviation_Q3,CorrectiveAction_Q3,Target_Q4,ActualOutput_Q4,ReasonforDeviation_Q4,CorrectiveAction_Q4,AnnualTarget_Summary2,Preliminary_Summary2,PrelimaryAudited_Summary2,ReasonforDeviation_Summary,CorrectiveAction_Summary,ValidatedAudited_Summary2,ReasonforDeviation_Q2,CorrectiveAction_Q2,UID
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Rand value of investment through industrial financing,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R13bn value  of investment  through industrial financing,,,,,,,Nil,"R1,469bn
","APP was amended for the new priorities, and the annual target for this output indicator was reduced. 


","APP was amended for the new priorities, and the annual target for this output indicator was reduced. 

",Nil,"R2,615bn
","AIS and CIP contributed to the high value of investment facilitated through industrial financial support
","N/A
",R13bn value  of investment  through industrial financing,-,,,,,,,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Value (Rand) of investment facilitated through industrial financial support,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,R5bn ,"R0,529 bn
","The submission for appointment of members of Adjudication Committees (ACs) was approved on 19 April 2024, and the ACs started approving projects in May. Budget for other incentive schemes was depleted.
","Reduce annual target when revising the APP for the new priorities.
",R8bn ,"R8,973bn
",R4bn ,N/A,N/A,"N/A
",R3bn ,N/A,N/A,N/A,R20bn,-,,,,,"AIS and CIP contributed to the high value of investment facilitated through industrial financial support
",N/A,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Value (Rand) of additional local output projected,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,R350m ,"R7,391bn
",Nil,N/A,N/A,"N/A
",R400m ,N/A,N/A,N/A,R750m,-,,,,,"Deviation from planned Q2 target was due to high value of additional local output projected from AIS claims received and paid
",N/A,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Value (Rand) of additional local output achieved,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,R150m ,"R35,925m
",Nil,N/A,N/A,"N/A
",R200m ,N/A,N/A,N/A,R350m,-,,,,,"A low achievement on value of additional local output achieved was due to a low number of completed templates received from AIS, APSS, and BIS projects/ enterprises. The template is sent out to every client that received payment in the month. As the information requested in for quarterly data, the trend noticed is that clients send out the information a few weeks after the end of the quarter. Going forward, if the data is not submitted within a month of the end of the quarter and the response rate is still low, reminders will be emailed to clients.

","Encourage projects/ enterprises to complete templates on the value of additional local output achieved of all the claims paid in 2024/25. To increase the response rate, the Legal Unit in the Branch drafted a letter for submission to beneficiaries when requesting information on the ‘terms and conditions of funding’ that informs beneficiaries of clause 7.2 of the funding schedule.  
",300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Value (Rand) of exports of Global Business Services,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,R1bn,"R3,564bn
","Deviation from planned Q1 target was due to high value of exports reported from BPS & GBS claims received and paid.
",n/a,R1bn,"R1,022bn
",R2bn,N/A,N/A,"N/A
",R5bn,N/A,N/A,N/A,R9bn,-,,,,,"Deviation from planned Q2 target was due to high value of exports reported from BPS & GBS claims received and paid
",N/A,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Value (Rand) of approved funding accessed by projects/ enterprises,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,Nil,N/A,Nil,N/A,N/A,"N/A
",R4bn,N/A,N/A,N/A,R4bn,-,,,,,N/A,N/A,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Value (Rand) of approved funding disbursed to projects/ enterprises outside the 5 metros,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,R300m,"R676,603m
",Nil,N/A,N/A,"N/A
",R500m,N/A,N/A,N/A,R800m,-,,,,,"AIS contributed to high value (rand) of approved funding disbursed to projects/ enterprises outside of the 5 main metros.
",N/A,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,"Value (Rand) of approved funding accessed, and support provided to SMMEs,",Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,R250m,"R351,352m
",Nil,N/A,N/A,"N/A
",R250m,N/A,N/A,N/A,R500m,-,,,,,"BIS and Film & TV contributed to the high value of approved funding accessed, and support provided to SMMEs, women and youth owned businesses
",N/A,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Value of output by Black Industrialist firms supported by the dtic group,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,Nil,N/A,Nil,N/A,N/A,"N/A
",R18bn,N/A,N/A,N/A,R18bn,-,,,,,N/A,N/A,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Number of jobs supported under GBS masterplan (retained and new),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,10 000,"32 256
",Nil,N/A,N/A,"N/A
",15 000,N/A,N/A,N/A,25 000,-,,,,,"Deviation from planned Q2 target was due to high number of jobs supported under GBS masterplan (retained and new).
",N/A,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Number of new permanent jobs created,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,2 500,"6 062
",Nil,N/A,N/A,"N/A
",2 500,N/A,N/A,N/A,5 000,-,,,,,"AIS and GBS contributed to the high number of new permanent jobs created
",N/A,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Number of construction job opportunities (Part time or temporary job opportunities),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,200,"99
",Nil,N/A,N/A,"N/A
",800,N/A,N/A,N/A,1 000,-,,,,,"The branch only reported CIP Private jobs and did not report on CIP Public (Industrial Parks) jobs, as the DBSA Quarterly Report was not yet received. 

","Remove the output indicator from 2024/25 APP. The output indicator was removed from the draft amended APP 2024-25 for Programme 6. The amended APP is not yet tabled. 

",300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Number of jobs in Black Industrialist firms supported,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,Nil,N/A,Nil,N/A,N/A,"N/A
",16 000,N/A,N/A,N/A,16 000,-,,,,,N/A,N/A,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Report on the R1bn financial support to enterprises including SMMEs to mitigate impact of load shedding through energy resilience fund by IDC and NEF,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,Nil,N/A,Nil,N/A,N/A,"N/A
",1,N/A,N/A,N/A,1,-,,,,,N/A,N/A,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Number of reports on 96% achievement of KPIs and the impact of the work of entities (IDC and NEF),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,2,2,Nil,N/A,N/A,"N/A
",2,N/A,N/A,N/A,4,-,,,,,N/A,N/A,300
,"Trade, Industry and Competition",National,Programme 6: Incentives,Programme 6: Incentives,Quarterly,Number of regulations / guidelines published & red tape reduction interventions,Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,Nil,N/A,Nil,N/A,N/A,"N/A
",1,N/A,N/A,N/A,4\,-,,,,,N/A,N/A,300
,"Trade, Industry and Competition",National,Programme 7: Exports,Programme 7: Exports,Quarterly,Additional Trade Finance Mechanism approved by Cabinet.,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",1 Additional Trade Finance Mechanism approved by Cabinet.,,,,,,,Nil,"N/A
","N/A
","N/A

",1,"Report submitted. Afreximbank Cabinet Memo outlining additional trade finance mechanism submitted to cabinet. Cabinet date for approval postponed to May 2025. 
","N/A
","N/A
",1 Additional Trade Finance Mechanism approved by Cabinet.,-,,,,,,,300
,"Trade, Industry and Competition",National,Programme 7: Exports,Programme 7: Exports,Quarterly,Global Export Strategy approved by Cabinet. ,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster","1 Global Export Strategy approved by Cabinet. 

",,,,,,,Nil,"N/A
","N/A
","N/A

",1,"Report submitted.  Global export strategy developed.
","Global export strategy needed to respond  and implement new Industrial Policy being developed.  
","Global export strategy responded to draft Industrial Policy and submitted for departmental and Cabinet approval processes. 
","1 Global Export Strategy approved by Cabinet
",-,,,,,,,300
,"Trade, Industry and Competition",National,Programme 7: Exports,Programme 7: Exports,Quarterly,Rand value of exports to the rest of the world funded through the Export Marketing and Investment Assistance (EMIA) Scheme.,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R850m value of exports to the rest of the world funded through the Export Marketing and Investment Assistance (EMIA) Scheme. ,,,,,,,Nil,"N/A
","N/A
","N/A

",R850m,"Report submitted. R902.5m export sales was generated through companies that participated in export promotion initiatives and funded  through the Export Marketing and Investment Assistance (EMIA) Scheme. 
",N/A,N/A,R850m value of exports to the rest of the world funded through the Export Marketing and Investment Assistance (EMIA) Scheme. ,-,,,,,,,300
,"Trade, Industry and Competition",National,Programme 7: Exports,Programme 7: Exports,Quarterly,Rand value of South African outward investment in the rest of Africa.,Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",R25bn of South African outward investment in the rest of Africa.,,,,,,,Nil,"N/A
","N/A
","N/A

",R25bn,"Report submitted. R31.2 bn in South African outward investment in the rest of Africa. 
","N/A
","N/A
",R25bn of South African outward investment in the rest of Africa.,-,,,,,,,300
,"Trade, Industry and Competition",National,Programme 7: Exports,Programme 7: Exports,Quarterly,Value (Rand) of manufactured exports to the rest of the world – (SARS Raw Data),Non-Standardized,Not  Applicable,Priority 2: Economic Transformation And Job Creation,"The Economic Sectors, Employment and Infrastructure Development cluster",,Nil,N/A ,N/A ,N/A ,Nil,N/A,Nil,"N/A
","N/A
","N/A

",R900bn,N/A,N/A,N/A,R900bn,-,,,,,N/A,N/A,300
